sku;family;groups;categories;attr_70;attr_38;attr_52;attr_23;attr_47;attr_17;attr_98-EUR;attr_98-USD;attr_63;attr_67;attr_67-unit;attr_29;attr_34;attr_54;attr_99;attr_79;attr_8;attr_89;attr_49;attr_20;attr_21;attr_53-en_US;attr_0-en_US-ecommerce;attr_0-en_US-print;attr_97;name;attr_33;attr_28-EUR;attr_28-USD;attr_41;attr_14-ecommerce;attr_14-print;attr_40;attr_13;attr_88;attr_39-en_US;attr_69;attr_58;attr_32;attr_62;attr_62-unit;attr_3-ecommerce;attr_3-print;attr_9-ecommerce;attr_9-print;attr_15;attr_59-ecommerce;attr_59-print;attr_19-EUR;attr_19-USD;attr_18;attr_71-EUR;attr_71-USD;attr_1;attr_86;attr_4;attr_66-EUR;attr_66-USD;attr_36;attr_11-EUR;attr_11-USD;attr_83-EUR;attr_83-USD;attr_43-en_US;attr_76;attr_27;attr_12;attr_78;attr_75-en_US;attr_56;attr_51;attr_46-ecommerce;attr_46-print;attr_96;attr_85;attr_82;attr_90;attr_57-en_US;attr_57-en_US-unit;attr_24;attr_77;attr_60;attr_42;attr_42-unit;attr_25;attr_35;attr_35-unit;attr_50;attr_44;attr_92-ecommerce;attr_92-print;attr_7;attr_30;attr_93;attr_5;attr_91;attr_2;attr_6;attr_68;attr_68-unit;attr_81-en_US-ecommerce;attr_81-en_US-print;attr_22;attr_22-unit;attr_87;attr_31;attr_73;attr_55;attr_48;attr_37;attr_61;attr_61-unit;attr_74;attr_45-en_US;attr_95;attr_95-unit;attr_94-en_US;attr_65;attr_10-EUR;attr_10-USD;attr_80;attr_16;attr_72;attr_26;attr_64;attr_84
id-1197;fam_30;;master_1_0_5,master_3_2_3;;;;;;;;;;;;;;;;;;;;;attr_opt_attr_215;;;;;;;;;;;;;;;2004-02-26;;;;;;;;;;;attr_opt_attr_598;attr_opt_attr_592;;;;;;;;;;;;;;;;;;;;;"Rerum dolore illum cupiditate provident.";;2013-06-25;;;;;;;;;;;;;;attr_opt_attr_252;;;;;"Qui totam cumque quaerat inventore qui quia.";"Consequatur rerum aliquid tenetur et architecto.";;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;
id-1198;fam_10;;master_0_5_4,master_1_5_0;0;;;;1991-10-22;;532;659;;477;METER;;attr_opt_attr_346;853;;;;;;1993-11-17;;;;;;"In quasi quibusdam voluptatem quae commodi laudantium ipsa.";;;;;;;;;2007-06-27;2006-07-10;;;;554;METER;;;;;;;;;;;278;490;;;;964;990;"Soluta doloremque iste amet.";;;590;697;;188;611;;;"Eos aliquam assumenda numquam at numquam nihil.";;1995-03-29;;;attr_opt_attr_962;;;;406;METER;;;;;;attr_opt_attr_250;;;;;"Ea et neque optio.";"Repellat ut maxime voluptas dolore sit ut.";"Esse odio velit quis veniam.";;;;attr_opt_attr_919;368;attr_opt_attr_68;;;;;349;METER;;"Et deleniti excepturi rerum fuga eligendi.";;;;;;;;;;;"Ex possimus velit ipsa ut aliquid est magnam.";;;;;;;;;
id-1199;fam_21;;master_0_1_0,master_2_6;;;;;;;;;attr_opt_attr_633;;;;;;;1;;;;;;;;;;;;;;;561;699;;;;1998-12-02;;;;;;;;;;;;;;;;784;529;;;;;;;;;;;;532;;;;"Culpa id et perferendis nam ad.";;;;;;;;;;;;;;;;;;;;;;;;;"Ad eveniet velit fuga expedita ullam.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
id-1200;fam_36;;master_4_3_0,master_1_3_4;;1989-01-04;attr_opt_attr_527;;;;909;889;;700;METER;;;;;;;;attr_opt_attr_499;;attr_opt_attr_217;;;;;"Doloremque molestiae cupiditate vero voluptas at repellat.";;501;328;;;;;1;;;;;;;;;;1;1;;attr_opt_attr_593;attr_opt_attr_595;;;;;;;65;;;;;;;972;644;1971-07-02;527;111;;;"Doloremque est architecto aut.";;2016-01-12;1987-03-13;1985-06-12;;"Iure error cum officiis minima.";;;;;;;;;;attr_opt_attr_258;;;;;;;"Et hic asperiores rerum eum.";;;;attr_opt_attr_912;;;;;;;;;488;;;;;;;;0;;;;;348;574;377;;;;;;
id-1201;fam_6;;master_5_2_6,master_3_5_6;;;;;;;;;;433;METER;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0;;;;;;;;;;;;;;;;;;;;795;;;1;;attr_opt_attr_569;;;;;;;;;;;;;;;attr_opt_attr_254;;;;;;;;;"Quia et laboriosam commodi qui temporibus numquam ad.";;;;;;;;;;;;;;;;;;;;;789;METER;;;;;;;;;;
id-1202;fam_47;;master_0_4_5,master_0_1_6;;1994-01-09;;;;;;;;644;METER;;;;;1;;;;2008-01-14;;;;;;;;;;;;;;;;;;;;986;METER;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Soluta exercitationem repellat nihil sed est et vitae.";;;;444;METER;;;;;;;;;;;;;;;;;;246;;;;;;;;;;;;;;;;;;;;;
id-1203;fam_0;;master_1_3_0,master_3_0_0;;;attr_opt_attr_525;;2015-08-17;"Quos sequi quam voluptatem.";;;attr_opt_attr_630;;;;attr_opt_attr_347;145;;0;;;;;;;;;;"Nisi cupiditate aut voluptatem voluptas totam delectus.";;;;;;;;;;;"Qui hic repellat velit aspernatur sed.";"Hello world!";;;;1974-10-13;1977-04-07;1;0;;;;;;;494;575;;415;;;;;;;466;188;1975-10-15;;;;;;;;1999-12-23;1992-05-06;;;;;;;;;;899;METER;;;;;;"Non reiciendis quasi sed pariatur placeat sed.";"Molestiae repudiandae in officiis.";;;;718;;;;;;;;297;METER;64;;;;;;;;;;;;;;;;;;1;;;"Adipisci ut voluptate aliquam maxime odio voluptatem."
id-1204;fam_1;;master_0_5_2,master_3_1;;;attr_opt_attr_523;;;;;;;;;;attr_opt_attr_348;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;879;589;;;;;;;;;;;;;;;;;;1978-06-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;397;METER;;;;;;;;;;;;;;;;;;44;;;;;;;attr_opt_attr_641;
id-1205;fam_31;;master_0_1_5,master_4_0_3;;;;;;"Molestias vitae magnam eius dolor harum rem quod.";205;620;;;;;;;;;;;attr_opt_attr_492;;;;;;;;;;;;;;;;1991-12-12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2004-02-02;2006-07-02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;374;METER;;;;;;;489;275;;;;;;
id-1206;fam_15;;master_5_5_4,master_6_1_2;;;attr_opt_attr_521;;;;;;;;;;;;;0;;;;;;;;;;;;;;;607;335;;;1976-04-01;;;;;;;;;;;;;;;;;640;918;;;;;;;;;;;;;;"Laudantium esse velit vel consequatur ea.";;;;;;;;;;;;;;;;327;METER;;;;;;;;;;;;;;attr_opt_attr_64;;;;;;;;;;;;;;;;;;;;;;;;;;;;
id-1207;fam_12;;master_4_2_6,master_0_0_4;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;917;;;;;;;;;;;974;;;;;;;;;;;;;;;;;;;;;;;;;;"Maiores placeat voluptatum aspernatur facere autem eligendi eum illum.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;attr_opt_attr_644;
id-1208;fam_23;;master_0_6_1,master_2_4_4;;2014-09-18;attr_opt_attr_520;;;;27;787;;;;0;attr_opt_attr_348;;;;;;;;;;attr_opt_attr_03;attr_opt_attr_03;;"Placeat aut optio occaecati nam neque minima.";;;;;;;;;;2010-07-18;;;;;;2003-11-30;1992-08-22;;;attr_opt_attr_158;;;;;;;;;;"Vel asperiores harum minima.";657;711;"Fugiat libero maxime eaque perspiciatis ut.";;;;;;;340;;;"Dolorem sapiente eos laboriosam repellat labore sed.";attr_opt_attr_563;;;;attr_opt_attr_967;;;;220;METER;;;"Eaque qui mollitia consequuntur vitae et vero.";;;;91;METER;;;;;;;;697;;;;;;0;1;;;971;"Ipsa sequi necessitatibus soluta eius et qui ipsa.";;;;;762;METER;;;;;"Suscipit saepe sit eos natus in et.";643;873;966;;;;;attr_opt_attr_644;"Voluptatem ut ratione quidem et quia et."
id-1209;fam_49;;master_6_1_0,master_5_0_1;;;;;;;;;;;;;;;;;;;;;attr_opt_attr_219;;;;;"Eveniet expedita soluta aliquid quia harum cupiditate illo.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Id autem quam magni assumenda fugit aliquid.";;;;20;464;;;;;;;0;;attr_opt_attr_565;;;;;;;;960;METER;;;;167;METER;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
id-1210;fam_6;;master_2_6_2,master_0_2;0;2001-10-14;;;;;;;;;;;;;0;0;;;;;attr_opt_attr_211;;;;;"Et commodi sit velit rerum aut quo veritatis excepturi.";;176;902;;;;;0;;2011-10-15;;;;;;1997-04-03;1973-05-18;1;1;;;;;;;;;;;"Tenetur sed enim magnam adipisci iure eligendi.";;;;;;;;;;;;0;;attr_opt_attr_567;1996-11-25;;;;;;;;;;;;;;attr_opt_attr_252;;;1;;"Sint molestias sint aut aspernatur temporibus odit.";"In amet accusantium ducimus aut sed.";;;"Voluptatem voluptatem velit id doloremque molestiae rerum omnis.";;attr_opt_attr_916;823;;161;METER;1;1;;;963;"Deleniti rerum omnis fuga rerum.";;;;;878;METER;0;1;403;METER;;;642;138;;;;;attr_opt_attr_648;
id-1211;fam_14;;master_1_1_4,master_3_1_4;;;;;;;;;attr_opt_attr_639;;;1;attr_opt_attr_343;555;;;;;attr_opt_attr_494;1982-07-04;;;attr_opt_attr_05;attr_opt_attr_08;;"Voluptatem repellendus rerum fugit.";;;;;432;463;;;1993-10-01;;"Vel animi est dolorem sed.";"Hello world!";;889;METER;1976-01-19;1989-06-18;1;1;;attr_opt_attr_597;attr_opt_attr_596;116;54;;;;;;"Iure consequuntur blanditiis sapiente natus.";;;;;;;;;165;980;"Qui excepturi animi eum ipsa.";;;;;;;attr_opt_attr_964;"Sunt distinctio quis facere quam ut repudiandae.";;;;;;;"Quae voluptas quam quisquam veritatis et.";;;attr_opt_attr_256;907;METER;;;"Qui facilis et sint facilis excepturi inventore beatae et.";"Assumenda ipsum facere odio consequuntur veniam et.";;;;;;371;;;;1;1;;;;;;;;;;;1;;;;;;;;;;0;;;
id-1212;fam_8;;master_4_1_3,master_4_6_6;;1981-11-25;attr_opt_attr_521;;;;;;;;;1;;;1;;;;;;;;attr_opt_attr_02;attr_opt_attr_04;;;;;;;;;;;;;;;;;;1979-01-09;1985-11-05;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;attr_opt_attr_250;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
id-1213;fam_6;;master_4_1_6,master_4_0_3;;2007-12-13;;;;;;;;866;METER;1;;;0;1;;;;;attr_opt_attr_212;;;;;"Et veritatis fuga ea aperiam et molestiae.";;517;960;;;;;0;;1973-06-15;;;;;;2012-05-27;2012-07-28;1;0;attr_opt_attr_155;;;;;;;;;;"Sapiente aut laudantium occaecati aut ad.";;;;376;403;;;;404;;;1;;attr_opt_attr_567;;;;;;;;;;;;;;;;;;;166;"Rerum qui hic dolorem quia nihil sapiente.";"Aut ea et unde error quos sit a.";"Sed blanditiis et iure explicabo dignissimos quae quisquam.";;"Qui ut provident autem sit soluta.";;attr_opt_attr_913;497;;185;METER;;;;;530;"Eos mollitia et sint ipsam.";;;;;183;METER;1;0;;;;;689;249;;;;;attr_opt_attr_641;
id-1214;fam_18;;master_1_0_0,master_5_3_5;;;;;;;;;;;;;;;;;;;;;attr_opt_attr_212;;;;;;;;;;;;;;;1981-09-21;;"Hello world!";;;;;;;;;;;;;;;;;;;;;;980;558;;;;;866;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;"Quae non aperiam aut qui totam consectetur voluptate.";502;;;;;;;;
id-1215;fam_47;;master_3_4_0,master_3_4_6;;;attr_opt_attr_526;attr_opt_attr_232;2006-09-21;;;;attr_opt_attr_635;529;METER;;;164;;0;;;;;;;;;;"Dolores saepe magnam fuga.";;;;;982;87;;;1989-10-17;;;;;798;METER;2002-04-24;1979-02-26;;;;;;;;;909;835;;856;;;;;;;782;328;;;;;;"Eligendi qui odio ducimus dolorum perspiciatis perferendis veniam.";;;;;;;;;;;435;;"Et magnam incidunt fuga enim eos eius.";;;;224;METER;1;;;;;;;;;199;attr_opt_attr_63;778;METER;;;86;METER;957;;;;;;;;;;106;METER;"Corporis necessitatibus perspiciatis quia libero magnam.";;;;;;;;;
id-1216;fam_23;;master_5_6,master_1_3_2;;1996-04-06;attr_opt_attr_529;;;;;;;;;0;attr_opt_attr_349;;;;;;;;;;;;;"Eligendi qui ducimus accusamus doloribus autem minus assumenda.";;;;;;;;;;1998-09-25;;;;755;METER;1989-01-05;1994-10-19;;;attr_opt_attr_153;attr_opt_attr_593;attr_opt_attr_596;;;;;;;;"Optio facilis voluptatum vero sed et temporibus cumque quidem.";81;779;"Rem praesentium vero sit.";;;;;2011-01-16;;244;;;"Corrupti perferendis nihil molestiae quisquam est.";attr_opt_attr_560;1979-04-27;;;attr_opt_attr_962;;;;606;METER;;;"Quidem fugiat repudiandae nulla.";;;;95;METER;;;;;;;;364;;;;;;1;1;;;761;;;;;;767;METER;;;;;"Eius dicta aliquam nobis quis rerum velit.";;723;284;;;1;;attr_opt_attr_643;
id-1217;fam_3;;master_1_5_2,master_5_4_3;0;;;attr_opt_attr_230;1988-11-08;"Dolorem voluptates architecto quo iste veritatis.";;;;;;0;;;;;;;attr_opt_attr_498;;;;;;;"Dolore aut eveniet reiciendis.";;;;;372;763;;;;;;"Hello world!";;;;;;1;1;;attr_opt_attr_590;attr_opt_attr_593;117;806;;813;315;;;;36;71;"Voluptatem alias nostrum aut quibusdam aliquid.";845;55;;;;;;;0;"Totam aspernatur magni enim vero sunt quia exercitationem facilis.";;;;;attr_opt_attr_967;"Unde et a provident qui.";;;461;METER;;;;;;;;;0;;"Voluptas sed numquam aut vel.";"Corporis eos cupiditate expedita similique maxime.";;;;206;;;;312;METER;;;270;METER;;;;;;;707;METER;;;;;"Ullam ut vero ut molestias.";268;882;507;;;;;attr_opt_attr_646;
id-1218;fam_15;;master_1_6_2,master_2_3_0;;;attr_opt_attr_526;;;;;;;;;;;;;1;;;;;;;;;;;;;;;312;663;;;1986-12-01;;;;;;;;;;;;;;;;;73;724;;;;;;;;;;;;;;"Alias corrupti in beatae magnam.";;;;;;;;;;;;;;;;768;METER;;;;;;;;;;;;;;attr_opt_attr_67;;;;;;;;;;;;;;;;;;;;;;;;;;;;
id-1219;fam_7;;master_0_4_2,master_0_0_5;;1980-07-26;;;;;;;attr_opt_attr_633;;;;;;;0;;;;1995-02-15;;;;;;;;381;115;;;;;;;2007-04-30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;502;;;;;;;;;;;;;;;;;;;;;
id-1220;fam_37;;master_0_4_3,master_4_3_1;;;;;;;;;;;;1;attr_opt_attr_345;;;;;;;;;;attr_opt_attr_03;attr_opt_attr_02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;attr_opt_attr_568;;;;attr_opt_attr_961;;;;;;;;;;;attr_opt_attr_253;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;attr_opt_attr_648;
id-1221;fam_28;;master_3_5_4,master_1_6_4;1;;;attr_opt_attr_236;2012-01-21;;758;328;;167;METER;;;230;1;;;;;1985-03-31;attr_opt_attr_213;;;;;"Aut non quis quis ducimus ullam dolores accusantium sit.";;97;753;;686;979;;;1991-08-21;;;;;903;METER;;;;;;attr_opt_attr_597;attr_opt_attr_599;785;729;;;;;901;;;;;;;639;874;;;;;;"Dicta laborum doloremque iste laborum delectus cum facere.";attr_opt_attr_563;;;;;;;;948;METER;;;"Deserunt dolore quas ut praesentium.";673;METER;attr_opt_attr_259;420;METER;1;256;;;;;;363;;;;;;0;1;543;METER;;;;;;2015-06-14;;;0;;;;;579;;;;;;;attr_opt_attr_649;
id-1222;fam_28;;master_3_5_0,master_4_4_0;;;;attr_opt_attr_234;2006-04-16;;429;86;;164;METER;;;782;;;;;;;attr_opt_attr_217;;;;;"Non non maxime atque quasi recusandae.";;796;211;;404;845;;1;2003-08-24;;;;;590;METER;;;;;;attr_opt_attr_598;attr_opt_attr_597;357;963;;667;386;;483;;;;;270;115;225;81;;;503;;;"Sed deleniti perferendis dolores illum ratione.";;;;;;;;;;;;;;294;METER;attr_opt_attr_254;416;METER;0;780;;;;;;401;;;;;;1;1;;;;;;;;1999-05-06;;;1;;;;"Recusandae beatae animi repellendus iste laudantium fugit et.";340;;;;;;;attr_opt_attr_648;
id-1223;fam_44;;master_6_4_0,master_4_4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Hello world!";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1971-04-13;2013-06-21;;;;;;;717;;;;;attr_opt_attr_259;;;1;;;;"Incidunt aut et quasi suscipit repudiandae soluta sint.";;;;attr_opt_attr_915;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;
id-1224;fam_38;;master_0_1_5,master_2_0_6;;;;;;;;;;113;METER;;;;;;;;;;;;;;;;;;;;;;;;;1997-05-16;;;;;;;;;;;;;;;;;;;;;;;;336;542;;;;;;;;;attr_opt_attr_568;;;;attr_opt_attr_968;;;;;;;;;;;;;;;125;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Architecto quas deleniti quis nobis molestiae illo assumenda.";;618;25;;;;;;
id-1225;fam_0;;master_6_0_3,master_4_2_0;;;attr_opt_attr_525;;;"Consequuntur esse iusto earum eligendi ipsum at.";612;347;attr_opt_attr_636;;;;attr_opt_attr_341;;;;;;;2001-03-04;;;attr_opt_attr_03;attr_opt_attr_04;;"Numquam enim optio qui repellat ex voluptates nobis.";;;;;881;781;;;;;"Voluptatibus aut voluptas accusamus eius itaque numquam numquam.";"Hello world!";;415;METER;2002-04-13;2008-05-14;0;1;attr_opt_attr_151;;;;;;651;280;;;;;;;;;134;557;;;;;;;attr_opt_attr_562;;2007-04-18;1994-06-05;;;;;;;;;;;;;;;;;"Expedita itaque hic dolorum beatae nisi doloribus.";"Explicabo soluta omnis nulla provident aut.";;;;49;;;;81;METER;;;405;METER;412;;;;;;;;;1;;;"Aut exercitationem quaerat placeat distinctio.";;;;;;;;;"Debitis excepturi itaque non fuga quia hic."
id-1226;fam_10;;master_2_1_4,master_5_2_6;0;;;attr_opt_attr_236;;;;;;;;;;;;;;;;;;;;;;"Natus qui tenetur culpa sunt debitis aspernatur ratione.";;;;;;;;;;;;;;483;METER;;;;;;;;;;;;;;;;674;962;"Vel accusantium enim aliquid tenetur laudantium id eveniet ut.";;;;;;;;;;;;;;;attr_opt_attr_961;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
id-1227;fam_21;;master_0_4_3,master_4_4_1;;;;;;;;;attr_opt_attr_635;;;;;;;0;;;;;;;;;;;;;;;408;35;;;;2010-02-01;;;;;;;;;;;;;;;;953;144;;;;;;;;;;;;740;;;;"Est officiis fugiat qui dolor quam.";;;;;;;;;;;;;;;;;;;;;;;;;"Blanditiis voluptate deleniti eius quae placeat consequuntur autem.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
id-1228;fam_17;;master_1_0_3,master_6_1_1;;;;attr_opt_attr_232;;;;;;;;0;;;0;1;;;attr_opt_attr_492;;;;;;;"Recusandae reiciendis iure cumque sed.";;;;;;;;1;;1984-07-21;;"Hello world!";;;;;;;;attr_opt_attr_154;attr_opt_attr_594;attr_opt_attr_590;;;;189;157;;;;;;;474;657;;;1976-03-01;680;244;"Explicabo eius et enim qui.";;;attr_opt_attr_566;;;;attr_opt_attr_965;"Officiis quis quae mollitia facilis autem doloribus eveniet fuga.";;;;;471;;"Enim sed non quia.";;;attr_opt_attr_258;;;;;;;;;;845;;13;attr_opt_attr_67;498;METER;1;0;333;METER;988;"Velit dolores tempore necessitatibus nam rerum totam.";;;;;;;;;312;METER;;;923;99;;;0;;attr_opt_attr_640;
id-1229;fam_1;;master_2_1_0,master_1_2_1;;2006-12-27;attr_opt_attr_524;attr_opt_attr_232;;;;;;337;METER;;;;;;;;attr_opt_attr_493;;;;;;;"Sint dignissimos officia exercitationem sed qui facere.";;;;;767;855;;;;1987-08-04;;;;984;METER;;;1;0;;;;988;129;;467;429;;;;;;;;;780;703;;;715;;1;;attr_opt_attr_563;1981-07-21;2004-11-03;2003-05-28;;;;;;;;;;;;;413;METER;;673;"Dolorum ea voluptatem quod consequatur aliquam doloremque sit eum.";"Voluptate animi nesciunt suscipit iusto.";;;"Maiores dolorem veniam aut tempora consectetur.";690;;;;871;METER;;;;;658;;;;;1996-04-23;;;;;;;"Porro et in cupiditate voluptatem sed.";845;;;;;;;;
id-1230;fam_22;;master_2_2_4,master_5_4_5;1;;;;;"Eos occaecati ad vero ullam rerum.";619;921;;;;;;80;0;1;;;;;;;attr_opt_attr_06;attr_opt_attr_04;;"Alias eligendi vero et est quia corporis harum nesciunt.";;;;;819;345;;;;1988-01-27;;;;377;METER;;;;;;;;925;503;;733;183;;;;;;;952;955;885;607;;;833;"Non quasi molestias aut ea voluptas dolor et.";;"Voluptas cupiditate vel inventore voluptatum pariatur.";;;;;;;;;17;METER;;;;;;;;;;;;;"Ratione aut a cum optio reprehenderit.";;;509;;;;941;METER;;;4;METER;;"Odit voluptatibus nemo praesentium voluptas.";;;;;262;METER;1;;248;METER;"Et nostrum tempore earum ex ad.";919;;;;;1;;attr_opt_attr_645;"Autem sit distinctio laboriosam labore qui."
id-1231;fam_49;;master_0_5_6,master_5_2_2;;;attr_opt_attr_520;;;;;;;;;;;;;;;;attr_opt_attr_495;1981-05-05;;;attr_opt_attr_02;attr_opt_attr_05;;"Sint fuga delectus nostrum illum tempora rerum veniam.";;338;542;;581;959;;;;1970-12-16;;"Hello world!";;;;;;1;0;;;;;;;;;;92;;935;935;"Veritatis libero in minus et repellat quia.";;;155;672;2003-02-08;842;816;;1;"Aut expedita laudantium sapiente.";;1972-02-02;1981-07-19;1978-01-17;attr_opt_attr_964;"Hic omnis aut et enim quasi.";;;576;METER;;;"Voluptas non ipsa aut eaque.";597;METER;attr_opt_attr_255;693;METER;;;"Rerum quo veniam ipsam asperiores.";"Quis ut consectetur magni ut.";"Quibusdam et et quia asperiores temporibus qui dicta.";;;;;;;;;;;;;613;;;;;;;;;;722;METER;;;;;;;;;attr_opt_attr_647;
id-1232;fam_38;;master_2_0_5,master_5_1_1;;;;;;;;;;634;METER;;;;;;;;;;;;;;;;;;;;;;;;;1988-11-20;;;;;;;;;;;;;;;;;;;;;;;;304;509;;;;;;;;;attr_opt_attr_560;;;;attr_opt_attr_963;;;;;;;;;;;;;;;62;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Reprehenderit provident libero voluptatem consequatur quos.";;670;10;;;;;;
id-1233;fam_28;;master_6_3_3,master_3_0_6;0;;;attr_opt_attr_232;;;158;353;;481;METER;;;200;1;;;;;1996-01-19;attr_opt_attr_215;;;;;"Et itaque sunt in sapiente.";;850;741;;;;;0;1986-09-10;;;;;;;;;;;;attr_opt_attr_594;attr_opt_attr_590;766;184;;947;60;;879;"Consequuntur ipsa molestiae nihil illo nemo.";;;;306;624;940;575;;;497;;;"Repellendus incidunt labore eius iure autem quia.";attr_opt_attr_564;;;;;;;;;;;;;379;METER;attr_opt_attr_251;;;0;;;;;;;967;;;;;;;;;;;;;;;2005-02-21;;;0;;;;"Quo rem velit ut odio voluptate dolorum.";89;;;;;;;attr_opt_attr_640;
id-1234;fam_15;;master_6_3_4,master_2_3_3;;;;;2004-07-20;"Minus ad ut est dolor optio id hic.";358;532;attr_opt_attr_630;;;;;596;;1;;;;;attr_opt_attr_214;;;;;"Incidunt aspernatur aut amet assumenda ex rerum.";;;;;;;;;1979-10-01;2010-07-30;;;;;;;;;;;;;;;;;;;;"Aut sed quia a.";;;;;;17;576;;445;527;"Possimus omnis aut quod excepturi.";;;;;;;;;;;218;METER;;;"Et recusandae numquam est modi.";;;;916;METER;;517;;;"Explicabo et enim praesentium accusamus sunt nemo ipsam.";;;440;;;attr_opt_attr_68;400;METER;;;665;METER;;;;;;2012-03-01;;;1;;;;"Et adipisci et corrupti amet quis id.";699;;;;;0;;;"Consectetur voluptatem atque consequuntur eligendi."
id-1235;fam_47;;master_1_3_2,master_0_2_2;;2016-02-05;;;2004-10-08;;;;attr_opt_attr_638;413;METER;;;330;;1;;;;2011-10-30;attr_opt_attr_211;;;;;"Labore ab molestiae ex cumque.";;;;;960;69;;;2002-12-10;;;;;;;2012-08-15;2009-04-27;;;;;;;;;856;113;;625;;;;"Nobis quo dolores eum quasi.";;;;;;;;;;;;;;;;;;;;;207;;"Quia et magni ut dolorem.";;;;234;METER;1;;;;;;;;;61;attr_opt_attr_60;94;METER;;;250;METER;;;;;;2009-08-25;;;1;;550;METER;"Id debitis voluptatum autem reiciendis quis.";;;;;;1;;;
id-1236;fam_1;;master_5_1,master_3_4_4;;;attr_opt_attr_529;;;;;;;;;;attr_opt_attr_344;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;208;825;;;;;;;;;;;;;;;;;;2004-07-23;;;;;;;;;;;;;;;;;;;;;;;;;;;;970;METER;;;;;;;;;;;;;;;;;;255;;;;;;;attr_opt_attr_644;
id-1237;fam_8;;master_5_4_0,master_3_0_0;;1993-01-26;attr_opt_attr_524;;;;;;;;;0;;;0;;;;;;;;attr_opt_attr_02;attr_opt_attr_09;;;;;;;;;;;;;;;;;;2010-10-11;1996-12-12;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;attr_opt_attr_252;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
id-1238;fam_30;;master_2_0_5,master_1;;;;;;;;;;;;;;;;;;;;;attr_opt_attr_212;;;;;;;;;;;;;;;2011-08-14;;;;;;;;;;;attr_opt_attr_591;attr_opt_attr_599;;;;;;;;;;;;;;;;;;;;;"Aut porro adipisci commodi nesciunt voluptatem animi earum minus.";;1970-09-02;;;;;;;;;;;;;;attr_opt_attr_258;;;;;"Accusantium id blanditiis odio.";"Occaecati qui minima nostrum ratione nostrum architecto.";;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;
id-1239;fam_28;;master_6_2,master_0_4_3;0;;;attr_opt_attr_239;1976-05-24;;100;400;;406;METER;;;937;1;;;;;2014-08-29;;;;;;"Et laborum atque consequatur iure sed.";;811;827;;749;310;;;;;;;;275;METER;;;;;;attr_opt_attr_594;attr_opt_attr_591;441;409;;799;573;;304;;;;;391;908;553;648;;;118;;;;attr_opt_attr_568;;;;;;;;559;METER;;;;682;METER;attr_opt_attr_255;229;METER;1;17;;;;;;367;;;;;;0;1;;;;;;;;2011-06-23;;;;;;;;288;;;;;;;attr_opt_attr_643;
