code;label-fr_FR;label-en_US;attribute_as_label;attributes;requirements-ecommerce;requirements-print
fam_113;"Excepturi tempore beatae.";"Ullam adipisci.";name;sku,name,attr_244,attr_346,attr_665,attr_308,attr_686,attr_723,attr_573,attr_250,attr_833,attr_580,attr_64,attr_396,attr_36,attr_73,attr_672,attr_900,attr_411,attr_753,attr_320,attr_111,attr_79,attr_996,attr_979,attr_443,attr_107,attr_637,attr_897,attr_393,attr_941,attr_787,attr_161,attr_729,attr_139,attr_260,attr_78,attr_357,attr_593,attr_520,attr_601,attr_406,attr_188,attr_417,attr_596,attr_99,attr_618,attr_115,attr_689,attr_903,attr_757,attr_424,attr_509,attr_881,attr_142,attr_895,attr_58,attr_181,attr_512,attr_540,attr_553,attr_654,attr_743,attr_978,attr_920,attr_796,attr_710,attr_862,attr_559,attr_747,attr_680,attr_874,attr_224,attr_581,attr_777,attr_55,attr_678,attr_490,attr_626,attr_344,attr_529,attr_970,attr_854,attr_8,attr_629,attr_129,attr_533,attr_407,attr_879,attr_907,attr_492,attr_682,attr_557,attr_41,attr_524,attr_726,attr_653,attr_481,attr_933,attr_337,attr_820;sku,attr_881,attr_753,attr_710,attr_978;sku,attr_129,attr_854,attr_417,name
fam_114;"Ipsam ducimus.";"Qui rerum assumenda.";name;sku,name,attr_258,attr_983,attr_499,attr_163,attr_180,attr_675,attr_726,attr_979,attr_491,attr_195,attr_504,attr_909,attr_663,attr_521,attr_532,attr_744,attr_498,attr_121,attr_313,attr_816,attr_206,attr_804,attr_887,attr_518,attr_928,attr_534,attr_861,attr_342,attr_213,attr_356,attr_17,attr_164,attr_256,attr_696,attr_238,attr_910,attr_519,attr_465,attr_143,attr_822,attr_139,attr_772,attr_407,attr_457,attr_486,attr_482,attr_275,attr_957,attr_565,attr_538,attr_996,attr_402,attr_806,attr_61,attr_104,attr_585,attr_217,attr_441,attr_770,attr_982,attr_379,attr_305,attr_531,attr_242,attr_333,attr_701,attr_362,attr_921,attr_483,attr_240,attr_300,attr_997,attr_126,attr_830,attr_97,attr_507,attr_557,attr_588,attr_151,attr_993,attr_668,attr_43,attr_511,attr_272,attr_14,attr_592,attr_389,attr_93,attr_311,attr_291,attr_110,attr_353,attr_53,attr_433,attr_148,attr_654,attr_171,attr_560,attr_930;sku,attr_164,attr_507,attr_17,attr_362;sku,attr_313,attr_921,attr_726,attr_356
fam_115;"Dolores molestiae.";"Ad eos.";name;sku,name,attr_604,attr_42,attr_907,attr_147,attr_455,attr_113,attr_874,attr_768,attr_918,attr_391,attr_714,attr_938,attr_6,attr_760,attr_761,attr_215,attr_114,attr_181,attr_459,attr_385,attr_343,attr_599,attr_248,attr_860,attr_62,attr_765,attr_491,attr_76,attr_59,attr_132,attr_829,attr_547,attr_893,attr_89,attr_210,attr_825,attr_271,attr_973,attr_93,attr_289,attr_534,attr_486,attr_924,attr_52,attr_752,attr_989,attr_499,attr_769,attr_692,attr_526,attr_127,attr_624,attr_852,attr_402,attr_863,attr_370,attr_895,attr_337,attr_813,attr_120,attr_655,attr_412,attr_349,attr_216,attr_274,attr_908,attr_993,attr_812,attr_523,attr_366,attr_472,attr_844,attr_958,attr_539,attr_589,attr_265,attr_569,attr_498,attr_618,attr_923,attr_419,attr_922,attr_400,attr_914,attr_211,attr_933,attr_747,attr_832,attr_590,attr_241,attr_552,attr_122,attr_841,attr_436,attr_362,attr_143,attr_19,attr_997,attr_467;sku,attr_825,attr_412,attr_907,attr_76;sku,attr_114,attr_769,attr_120,attr_768
fam_116;"At quas.";"Iusto veniam qui.";name;sku,name,attr_26,attr_291,attr_406,attr_672,attr_9,attr_885,attr_101,attr_905,attr_280,attr_947,attr_788,attr_7,attr_740,attr_961,attr_118,attr_923,attr_498,attr_509,attr_196,attr_448,attr_772,attr_423,attr_12,attr_3,attr_199,attr_964,attr_520,attr_330,attr_583,attr_228,attr_486,attr_94,attr_474,attr_813,attr_473,attr_328,attr_781,attr_563,attr_320,attr_802,attr_963,attr_746,attr_753,attr_551,attr_759,attr_132,attr_643,attr_825,attr_515,attr_168,attr_887,attr_68,attr_915,attr_342,attr_600,attr_380,attr_133,attr_619,attr_239,attr_954,attr_673,attr_45,attr_69,attr_800,attr_375,attr_93,attr_713,attr_886,attr_25,attr_36,attr_368,attr_98,attr_675,attr_260,attr_505,attr_704,attr_642,attr_539,attr_130,attr_834,attr_117,attr_636,attr_757,attr_873,attr_396,attr_935,attr_991,attr_872,attr_222,attr_11,attr_625,attr_469,attr_403,attr_188,attr_197,attr_974,attr_774,attr_592,attr_166;sku,attr_375,attr_320,attr_802,attr_834;sku,attr_473,attr_592,attr_3,attr_551
fam_117;"Optio sed.";"Atque voluptatum.";name;sku,name,attr_419,attr_557,attr_471,attr_899,attr_676,attr_318,attr_280,attr_271,attr_401,attr_884,attr_864,attr_239,attr_756,attr_362,attr_293,attr_561,attr_205,attr_257,attr_379,attr_800,attr_658,attr_144,attr_869,attr_950,attr_915,attr_436,attr_929,attr_116,attr_991,attr_641,attr_827,attr_236,attr_317,attr_109,attr_316,attr_47,attr_208,attr_173,attr_543,attr_101,attr_685,attr_139,attr_804,attr_154,attr_673,attr_41,attr_49,attr_487,attr_281,attr_244,attr_657,attr_956,attr_993,attr_601,attr_503,attr_451,attr_450,attr_364,attr_593,attr_217,attr_992,attr_530,attr_850,attr_834,attr_38,attr_517,attr_425,attr_388,attr_799,attr_431,attr_791,attr_630,attr_654,attr_941,attr_288,attr_279,attr_58,attr_980,attr_455,attr_552,attr_152,attr_272,attr_439,attr_802,attr_341,attr_424,attr_797,attr_121,attr_248,attr_803,attr_311,attr_535,attr_83,attr_910,attr_936,attr_65,attr_949,attr_999,attr_513;sku,attr_657,attr_884,attr_993,attr_58;sku,attr_530,attr_929,attr_236,attr_834
fam_118;"Laboriosam aspernatur.";"Natus voluptas quo.";name;sku,name,attr_211,attr_451,attr_406,attr_921,attr_119,attr_248,attr_481,attr_380,attr_740,attr_43,attr_832,attr_271,attr_96,attr_667,attr_163,attr_618,attr_546,attr_536,attr_177,attr_776,attr_427,attr_962,attr_331,attr_793,attr_970,attr_131,attr_28,attr_3,attr_923,attr_603,attr_589,attr_660,attr_482,attr_772,attr_309,attr_934,attr_145,attr_65,attr_853,attr_763,attr_946,attr_797,attr_912,attr_599,attr_392,attr_910,attr_58,attr_691,attr_257,attr_530,attr_76,attr_396,attr_710,attr_871,attr_155,attr_110,attr_705,attr_731,attr_565,attr_300,attr_948,attr_418,attr_541,attr_455,attr_643,attr_387,attr_724,attr_351,attr_88,attr_652,attr_354,attr_493,attr_86,attr_342,attr_935,attr_306,attr_957,attr_179,attr_374,attr_429,attr_413,attr_598,attr_987,attr_296,attr_36,attr_383,attr_649,attr_824,attr_338,attr_676,attr_399,attr_695,attr_486,attr_255,attr_924,attr_376,attr_928,attr_630,attr_280;sku,attr_271,attr_643,sku,attr_724;sku,attr_731,attr_546,attr_676,attr_163
fam_119;"Labore non.";"Quaerat eum.";name;sku,name,attr_763,attr_618,attr_707,attr_953,attr_46,attr_271,attr_875,attr_148,attr_629,attr_537,attr_216,attr_923,attr_325,attr_871,attr_197,attr_793,attr_253,attr_202,attr_758,attr_876,attr_400,attr_302,attr_636,attr_892,attr_605,attr_221,attr_850,attr_950,attr_141,attr_927,attr_364,attr_894,attr_645,attr_504,attr_816,attr_887,attr_964,attr_272,attr_97,attr_637,attr_28,attr_885,attr_719,attr_356,attr_981,attr_440,attr_728,attr_566,attr_140,attr_423,attr_882,attr_388,attr_903,attr_868,attr_667,attr_657,attr_706,attr_381,attr_499,attr_488,attr_50,attr_432,attr_806,attr_532,attr_60,attr_851,attr_661,attr_890,attr_452,attr_962,attr_561,attr_476,attr_877,attr_153,attr_443,attr_4,attr_895,attr_82,attr_891,attr_563,attr_995,attr_650,attr_482,attr_67,attr_472,attr_233,attr_61,attr_980,attr_872,attr_529,attr_389,attr_329,attr_70,attr_540,attr_954,attr_255,attr_434,attr_735,attr_644;sku,attr_980,attr_927,attr_388,attr_735;sku,attr_67,attr_255,attr_644,attr_890
fam_120;"Inventore est ut.";"Aut iusto magni.";name;sku,name,attr_194,attr_82,attr_944,attr_417,attr_838,attr_817,attr_652,attr_571,attr_495,attr_44,attr_372,attr_300,attr_232,attr_687,attr_896,attr_102,attr_80,attr_947,attr_161,attr_368,attr_804,attr_114,attr_147,attr_72,attr_126,attr_86,attr_98,attr_361,attr_889,attr_939,attr_472,attr_186,attr_802,attr_262,attr_742,attr_784,attr_249,attr_790,attr_419,attr_763,attr_791,attr_798,attr_943,attr_116,attr_602,attr_479,attr_925,attr_633,attr_121,attr_841,attr_926,attr_561,attr_246,attr_214,attr_778,attr_325,attr_250,attr_793,attr_596,attr_178,attr_191,attr_935,attr_595,attr_165,attr_391,attr_149,attr_601,attr_180,attr_829,attr_888,attr_774,attr_682,attr_252,attr_19,attr_859,attr_756,attr_308,attr_287,attr_648,attr_717,attr_183,attr_904,attr_996,attr_331,attr_830,attr_79,attr_162,attr_852,attr_506,attr_950,attr_92,attr_177,attr_504,attr_741,attr_348,attr_498,attr_363,attr_668,attr_645;sku,attr_178,attr_804,attr_262,attr_325;sku,attr_361,attr_943,attr_802,attr_668
fam_121;"Alias repudiandae.";"Libero dolorum.";name;sku,name,attr_950,attr_263,attr_87,attr_458,attr_75,attr_751,attr_826,attr_192,attr_685,attr_68,attr_259,attr_919,attr_552,attr_214,attr_925,attr_696,attr_224,attr_425,attr_201,attr_151,attr_9,attr_400,attr_578,attr_972,attr_193,attr_961,attr_377,attr_540,attr_968,attr_291,attr_348,attr_831,attr_25,attr_183,attr_152,attr_206,attr_194,attr_928,attr_109,attr_745,attr_243,attr_66,attr_122,attr_537,attr_592,attr_356,attr_96,attr_812,attr_628,attr_813,attr_521,attr_570,attr_307,attr_598,attr_426,attr_12,attr_357,attr_773,attr_283,attr_379,attr_924,attr_341,attr_650,attr_331,attr_167,attr_757,attr_91,attr_520,attr_605,attr_23,attr_625,attr_959,attr_946,attr_834,attr_737,attr_52,attr_471,attr_287,attr_209,attr_367,attr_252,attr_583,attr_49,attr_882,attr_3,attr_635,attr_759,attr_372,attr_779,attr_1,attr_622,attr_339,attr_814,attr_780,attr_971,attr_293,attr_10,attr_655,attr_634;sku,attr_592,attr_812,attr_540,attr_634;sku,attr_263,attr_946,attr_339,attr_540
fam_122;"Est aut tempore.";"Voluptate id.";name;sku,name,attr_701,attr_74,attr_618,attr_700,attr_155,attr_52,attr_175,attr_683,attr_999,attr_483,attr_20,attr_502,attr_59,attr_830,attr_935,attr_696,attr_812,attr_173,attr_639,attr_272,attr_961,attr_556,attr_855,attr_431,attr_138,attr_249,attr_299,attr_661,attr_495,attr_592,attr_567,attr_149,attr_843,attr_340,attr_391,attr_273,attr_798,attr_738,attr_445,attr_236,attr_168,attr_422,attr_507,attr_995,attr_82,attr_821,attr_331,attr_532,attr_68,attr_593,attr_21,attr_399,attr_349,attr_822,attr_906,attr_130,attr_263,attr_814,attr_185,attr_438,attr_484,attr_196,attr_382,attr_604,attr_490,attr_929,attr_965,attr_215,attr_451,attr_212,attr_750,attr_437,attr_353,attr_917,attr_368,attr_444,attr_716,attr_745,attr_414,attr_347,attr_885,attr_474,attr_136,attr_119,attr_583,attr_342,attr_869,attr_508,attr_498,attr_305,attr_978,attr_50,attr_537,attr_966,attr_374,attr_380,attr_852,attr_536,attr_705;sku,attr_342,attr_444,attr_537,attr_68;sku,attr_812,attr_431,attr_382,attr_507
fam_123;"Consequatur sed.";"Quaerat itaque.";name;sku,name,attr_947,attr_726,attr_95,attr_253,attr_790,attr_438,attr_776,attr_791,attr_284,attr_51,attr_213,attr_183,attr_879,attr_869,attr_954,attr_150,attr_883,attr_792,attr_18,attr_155,attr_149,attr_26,attr_379,attr_310,attr_71,attr_276,attr_485,attr_420,attr_789,attr_563,attr_642,attr_498,attr_807,attr_543,attr_811,attr_903,attr_558,attr_171,attr_631,attr_192,attr_303,attr_973,attr_434,attr_367,attr_826,attr_738,attr_61,attr_748,attr_759,attr_231,attr_927,attr_402,attr_572,attr_834,attr_75,attr_34,attr_962,attr_948,attr_677,attr_359,attr_529,attr_656,attr_901,attr_745,attr_417,attr_891,attr_682,attr_512,attr_299,attr_975,attr_750,attr_156,attr_634,attr_873,attr_486,attr_929,attr_503,attr_827,attr_840,attr_333,attr_614,attr_366,attr_437,attr_533,attr_285,attr_721,attr_47,attr_898,attr_683,attr_590,attr_983,attr_302,attr_708,attr_971,attr_809,attr_332,attr_313,attr_917,attr_435;sku,attr_366,attr_310,attr_333,attr_840;sku,attr_682,attr_402,attr_840,attr_590
fam_124;"Molestias omnis.";"Eaque corporis sit.";name;sku,name,attr_570,attr_687,attr_121,attr_820,attr_777,attr_44,attr_391,attr_599,attr_968,attr_295,attr_244,attr_925,attr_186,attr_867,attr_537,attr_911,attr_980,attr_170,attr_623,attr_13,attr_53,attr_366,attr_399,attr_598,attr_678,attr_154,attr_493,attr_451,attr_100,attr_606,attr_854,attr_412,attr_280,attr_734,attr_278,attr_602,attr_289,attr_987,attr_168,attr_757,attr_149,attr_566,attr_636,attr_514,attr_505,attr_328,attr_892,attr_524,attr_799,attr_127,attr_332,attr_985,attr_158,attr_231,attr_745,attr_86,attr_354,attr_486,attr_935,attr_243,attr_743,attr_50,attr_326,attr_855,attr_108,attr_330,attr_953,attr_573,attr_63,attr_786,attr_916,attr_251,attr_137,attr_593,attr_851,attr_768,attr_461,attr_126,attr_699,attr_139,attr_847,attr_307,attr_624,attr_10,attr_523,attr_804,attr_506,attr_808,attr_410,attr_178,attr_625,attr_382,attr_60,attr_65,attr_576,attr_667,attr_275,attr_977,attr_996;sku,attr_13,attr_399,attr_168,attr_925;sku,attr_987,attr_326,attr_44,attr_158
fam_125;"Ab ea commodi.";"Veniam dolores consequatur.";name;sku,name,attr_764,attr_447,attr_918,attr_604,attr_351,attr_694,attr_599,attr_835,attr_345,attr_463,attr_469,attr_756,attr_889,attr_270,attr_202,attr_96,attr_971,attr_540,attr_430,attr_40,attr_828,attr_249,attr_426,attr_753,attr_593,attr_122,attr_94,attr_224,attr_909,attr_468,attr_636,attr_99,attr_234,attr_154,attr_655,attr_663,attr_160,attr_63,attr_382,attr_203,attr_489,attr_718,attr_2,attr_499,attr_293,attr_744,attr_574,attr_384,attr_702,attr_92,attr_972,attr_378,attr_25,attr_148,attr_461,attr_330,attr_407,attr_884,attr_977,attr_174,attr_58,attr_150,attr_968,attr_794,attr_448,attr_526,attr_100,attr_26,attr_215,attr_880,attr_316,attr_876,attr_677,attr_925,attr_428,attr_929,attr_887,attr_390,attr_439,attr_168,attr_394,attr_912,attr_220,attr_309,attr_898,attr_958,attr_281,attr_344,attr_881,attr_518,attr_479,attr_836,attr_784,attr_478,attr_653,attr_956,attr_873,attr_131,attr_513;sku,attr_909,attr_784,attr_63,attr_958;sku,attr_880,attr_753,attr_972,attr_378
fam_126;"Tempora laboriosam.";"Distinctio ea odit.";name;sku,name,attr_653,attr_521,attr_332,attr_303,attr_791,attr_476,attr_845,attr_600,attr_202,attr_715,attr_437,attr_92,attr_315,attr_375,attr_15,attr_200,attr_826,attr_590,attr_12,attr_39,attr_246,attr_247,attr_640,attr_758,attr_187,attr_231,attr_213,attr_947,attr_973,attr_199,attr_877,attr_663,attr_981,attr_569,attr_123,attr_730,attr_126,attr_482,attr_893,attr_770,attr_397,attr_150,attr_337,attr_731,attr_53,attr_714,attr_67,attr_314,attr_844,attr_779,attr_765,attr_381,attr_916,attr_475,attr_898,attr_923,attr_523,attr_7,attr_445,attr_926,attr_980,attr_861,attr_343,attr_539,attr_513,attr_301,attr_278,attr_836,attr_266,attr_146,attr_33,attr_122,attr_16,attr_517,attr_452,attr_773,attr_918,attr_560,attr_664,attr_706,attr_254,attr_296,attr_61,attr_951,attr_27,attr_449,attr_872,attr_48,attr_14,attr_888,attr_230,attr_672,attr_726,attr_957,attr_754,attr_740,attr_998,attr_153,attr_632;sku,attr_301,attr_916,attr_714,attr_381;sku,attr_714,attr_916,attr_39,attr_246
fam_127;"Cum qui.";"Dolor adipisci.";name;sku,name,attr_376,attr_32,attr_430,attr_427,attr_538,attr_548,attr_151,attr_949,attr_1,attr_342,attr_446,attr_344,attr_438,attr_162,attr_80,attr_458,attr_406,attr_719,attr_884,attr_631,attr_591,attr_931,attr_770,attr_753,attr_530,attr_845,attr_815,attr_48,attr_374,attr_716,attr_471,attr_737,attr_5,attr_735,attr_237,attr_665,attr_782,attr_412,attr_644,attr_43,attr_65,attr_377,attr_185,attr_894,attr_286,attr_243,attr_175,attr_45,attr_830,attr_986,attr_494,attr_390,attr_262,attr_701,attr_213,attr_115,attr_76,attr_122,attr_807,attr_140,attr_573,attr_78,attr_575,attr_532,attr_837,attr_683,attr_704,attr_383,attr_526,attr_562,attr_328,attr_598,attr_254,attr_576,attr_397,attr_582,attr_171,attr_908,attr_309,attr_570,attr_616,attr_72,attr_685,attr_780,attr_170,attr_472,attr_700,attr_197,attr_686,attr_627,attr_673,attr_642,attr_867,attr_760,attr_940,attr_475,attr_777,attr_281,attr_218;sku,attr_494,attr_642,attr_78,attr_582;sku,attr_43,attr_627,attr_328,attr_397
fam_128;"Accusamus aut.";"Repellat qui numquam.";name;sku,name,attr_742,attr_981,attr_259,attr_12,attr_795,attr_499,attr_356,attr_293,attr_765,attr_486,attr_525,attr_105,attr_702,attr_700,attr_987,attr_188,attr_553,attr_756,attr_422,attr_225,attr_803,attr_983,attr_562,attr_332,attr_29,attr_749,attr_460,attr_169,attr_948,attr_236,attr_804,attr_54,attr_443,attr_567,attr_393,attr_907,attr_568,attr_997,attr_933,attr_746,attr_282,attr_160,attr_636,attr_708,attr_165,attr_776,attr_785,attr_322,attr_53,attr_991,attr_947,attr_295,attr_36,attr_490,attr_72,attr_484,attr_783,attr_74,attr_311,attr_56,attr_939,attr_528,attr_205,attr_22,attr_366,attr_154,attr_147,attr_953,attr_619,attr_106,attr_58,attr_853,attr_825,attr_961,attr_900,attr_663,attr_114,attr_405,attr_904,attr_908,attr_291,attr_545,attr_906,attr_96,attr_694,attr_839,attr_881,attr_18,attr_733,attr_435,attr_922,attr_761,attr_798,attr_348,attr_409,attr_173,attr_120,attr_946,attr_940;sku,attr_525,attr_940,attr_765,sku;sku,attr_53,attr_636,attr_22,attr_568
fam_129;"Ullam doloribus.";"Vel at.";name;sku,name,attr_238,attr_95,attr_463,attr_721,attr_322,attr_958,attr_754,attr_261,attr_282,attr_64,attr_86,attr_415,attr_504,attr_628,attr_397,attr_839,attr_6,attr_29,attr_121,attr_398,attr_875,attr_343,attr_60,attr_930,attr_33,attr_617,attr_719,attr_910,attr_152,attr_961,attr_122,attr_19,attr_207,attr_92,attr_522,attr_221,attr_916,attr_459,attr_924,attr_434,attr_449,attr_437,attr_938,attr_67,attr_414,attr_841,attr_635,attr_76,attr_317,attr_514,attr_145,attr_155,attr_738,attr_505,attr_386,attr_837,attr_757,attr_884,attr_759,attr_613,attr_100,attr_175,attr_992,attr_768,attr_293,attr_157,attr_244,attr_450,attr_963,attr_15,attr_137,attr_294,attr_544,attr_2,attr_988,attr_423,attr_962,attr_965,attr_532,attr_113,attr_21,attr_553,attr_987,attr_186,attr_923,attr_771,attr_534,attr_257,attr_555,attr_695,attr_44,attr_989,attr_431,attr_512,attr_543,attr_871,attr_78,attr_227,attr_357;sku,attr_875,attr_958,attr_44,attr_930;sku,attr_157,attr_227,attr_543,attr_754
fam_130;"Eum dolorum asperiores.";"Animi et voluptatum.";name;sku,name,attr_624,attr_818,attr_828,attr_189,attr_478,attr_659,attr_356,attr_386,attr_246,attr_518,attr_123,attr_459,attr_525,attr_297,attr_150,attr_649,attr_878,attr_417,attr_317,attr_790,attr_500,attr_571,attr_706,attr_128,attr_606,attr_570,attr_239,attr_280,attr_348,attr_211,attr_482,attr_164,attr_795,attr_325,attr_962,attr_249,attr_731,attr_115,attr_600,attr_881,attr_270,attr_566,attr_615,attr_259,attr_438,attr_132,attr_930,attr_937,attr_290,attr_374,attr_967,attr_952,attr_205,attr_397,attr_314,attr_627,attr_315,attr_392,attr_412,attr_421,attr_126,attr_347,attr_988,attr_888,attr_456,attr_316,attr_736,attr_642,attr_394,attr_361,attr_655,attr_692,attr_877,attr_251,attr_582,attr_378,attr_537,attr_573,attr_59,attr_119,attr_338,attr_277,attr_780,attr_124,attr_688,attr_26,attr_395,attr_36,attr_39,attr_118,attr_753,attr_148,attr_683,attr_103,attr_839,attr_102,attr_130,attr_783,attr_519;sku,attr_783,attr_736,attr_128,attr_115;sku,attr_688,attr_150,attr_571,attr_967
fam_131;"Doloribus velit officia.";"Omnis repudiandae.";name;sku,name,attr_416,attr_833,attr_493,attr_740,attr_483,attr_725,attr_372,attr_775,attr_261,attr_356,attr_909,attr_810,attr_284,attr_498,attr_578,attr_570,attr_336,attr_462,attr_147,attr_96,attr_292,attr_622,attr_918,attr_143,attr_211,attr_709,attr_436,attr_421,attr_89,attr_769,attr_488,attr_117,attr_381,attr_741,attr_337,attr_692,attr_383,attr_265,attr_986,attr_655,attr_36,attr_95,attr_976,attr_588,attr_673,attr_430,attr_916,attr_574,attr_131,attr_921,attr_978,attr_469,attr_506,attr_443,attr_181,attr_995,attr_83,attr_164,attr_338,attr_457,attr_287,attr_595,attr_19,attr_178,attr_746,attr_53,attr_464,attr_477,attr_494,attr_774,attr_262,attr_837,attr_911,attr_598,attr_718,attr_139,attr_771,attr_848,attr_253,attr_449,attr_875,attr_391,attr_843,attr_98,attr_288,attr_234,attr_465,attr_914,attr_983,attr_141,attr_604,attr_310,attr_99,attr_691,attr_405,attr_898,attr_497,attr_162,attr_610;sku,attr_234,attr_810,attr_96,attr_483;sku,attr_131,attr_457,attr_284,attr_976
fam_132;"Et quis.";"Rerum ut modi.";name;sku,name,attr_84,attr_939,attr_801,attr_88,attr_952,attr_965,attr_309,attr_479,attr_183,attr_785,attr_657,attr_505,attr_653,attr_946,attr_967,attr_247,attr_192,attr_776,attr_120,attr_553,attr_700,attr_837,attr_893,attr_710,attr_53,attr_581,attr_152,attr_115,attr_331,attr_961,attr_108,attr_166,attr_470,attr_664,attr_345,attr_199,attr_639,attr_692,attr_520,attr_222,attr_376,attr_542,attr_506,attr_36,attr_866,attr_544,attr_263,attr_906,attr_883,attr_286,attr_390,attr_327,attr_82,attr_48,attr_476,attr_450,attr_109,attr_157,attr_933,attr_511,attr_231,attr_133,attr_77,attr_72,attr_799,attr_821,attr_420,attr_89,attr_379,attr_815,attr_980,attr_433,attr_248,attr_706,attr_823,attr_666,attr_834,attr_283,attr_879,attr_388,attr_264,attr_255,attr_966,attr_859,attr_959,attr_427,attr_687,attr_524,attr_673,attr_187,attr_150,attr_462,attr_364,attr_125,attr_106,attr_829,attr_600,attr_998,attr_715;sku,attr_906,attr_666,attr_801,attr_776;sku,attr_248,attr_967,name,attr_247
fam_133;"Tempore deleniti.";"Non labore qui.";name;sku,name,attr_902,attr_360,attr_337,attr_199,attr_149,attr_216,attr_356,attr_792,attr_439,attr_477,attr_417,attr_771,attr_286,attr_247,attr_679,attr_697,attr_129,attr_445,attr_936,attr_19,attr_323,attr_299,attr_238,attr_733,attr_686,attr_36,attr_761,attr_653,attr_301,attr_217,attr_95,attr_10,attr_728,attr_764,attr_18,attr_319,attr_133,attr_759,attr_489,attr_925,attr_495,attr_861,attr_327,attr_869,attr_784,attr_843,attr_577,attr_644,attr_580,attr_1,attr_282,attr_436,attr_244,attr_849,attr_710,attr_272,attr_419,attr_266,attr_709,attr_407,attr_359,attr_893,attr_585,attr_192,attr_937,attr_349,attr_122,attr_906,attr_210,attr_355,attr_413,attr_947,attr_212,attr_335,attr_66,attr_246,attr_240,attr_859,attr_953,attr_130,attr_81,attr_822,attr_922,attr_509,attr_583,attr_837,attr_76,attr_3,attr_909,attr_306,attr_219,attr_699,attr_854,attr_928,attr_888,attr_916,attr_554,attr_546,attr_988;sku,attr_859,attr_489,attr_81,attr_843;sku,attr_761,attr_861,attr_407,attr_349
fam_134;"Similique excepturi.";"Accusantium ratione similique.";name;sku,name,attr_630,attr_947,attr_693,attr_689,attr_576,attr_278,attr_362,attr_718,attr_589,attr_869,attr_889,attr_696,attr_345,attr_236,attr_9,attr_12,attr_313,attr_651,attr_664,attr_233,attr_563,attr_831,attr_736,attr_924,attr_554,attr_330,attr_773,attr_769,attr_618,attr_777,attr_934,attr_812,attr_946,attr_11,attr_551,attr_486,attr_254,attr_357,attr_58,attr_815,attr_226,attr_763,attr_251,attr_344,attr_76,attr_677,attr_758,attr_435,attr_261,attr_853,attr_399,attr_752,attr_717,attr_849,attr_703,attr_210,attr_229,attr_402,attr_655,attr_193,attr_842,attr_682,attr_103,attr_670,attr_249,attr_783,attr_657,attr_372,attr_317,attr_697,attr_548,attr_26,attr_174,attr_695,attr_259,attr_985,attr_558,attr_358,attr_436,attr_349,attr_238,attr_742,attr_414,attr_398,attr_612,attr_209,attr_170,attr_767,attr_347,attr_710,attr_640,attr_567,attr_190,attr_394,attr_833,attr_808,attr_300,attr_33,attr_575;sku,attr_640,attr_357,attr_193,attr_869;sku,attr_399,attr_618,attr_697,attr_238
fam_135;"Omnis autem in.";"Aliquid itaque necessitatibus.";name;sku,name,attr_305,attr_710,attr_25,attr_299,attr_973,attr_772,attr_808,attr_893,attr_156,attr_396,attr_749,attr_499,attr_373,attr_876,attr_657,attr_249,attr_904,attr_774,attr_949,attr_548,attr_482,attr_58,attr_384,attr_785,attr_752,attr_674,attr_138,attr_775,attr_276,attr_38,attr_201,attr_800,attr_671,attr_50,attr_575,attr_481,attr_381,attr_30,attr_150,attr_349,attr_421,attr_594,attr_475,attr_407,attr_843,attr_171,attr_899,attr_197,attr_127,attr_282,attr_791,attr_576,attr_531,attr_246,attr_857,attr_908,attr_795,attr_614,attr_317,attr_17,attr_890,attr_102,attr_178,attr_11,attr_802,attr_976,attr_292,attr_280,attr_338,attr_118,attr_216,attr_716,attr_94,attr_415,attr_301,attr_951,attr_953,attr_241,attr_347,attr_921,attr_805,attr_137,attr_300,attr_577,attr_856,attr_822,attr_555,attr_56,attr_184,attr_124,attr_134,attr_695,attr_83,attr_200,attr_940,attr_191,attr_418,attr_133,attr_855;sku,attr_83,attr_30,attr_795,attr_482;sku,attr_137,attr_292,attr_373,attr_56
fam_136;"Quam aliquid.";"Molestiae quaerat ut.";name;sku,name,attr_269,attr_826,attr_37,attr_875,attr_358,attr_237,attr_515,attr_853,attr_563,attr_436,attr_926,attr_67,attr_842,attr_513,attr_933,attr_974,attr_861,attr_936,attr_584,attr_238,attr_61,attr_836,attr_568,attr_219,attr_399,attr_879,attr_545,attr_64,attr_292,attr_58,attr_251,attr_698,attr_268,attr_125,attr_594,attr_322,attr_299,attr_797,attr_270,attr_23,attr_308,attr_686,attr_1,attr_148,attr_73,attr_44,attr_244,attr_445,attr_566,attr_732,attr_104,attr_229,attr_683,attr_210,attr_467,attr_138,attr_356,attr_612,attr_903,attr_613,attr_17,attr_775,attr_324,attr_906,attr_169,attr_583,attr_512,attr_614,attr_502,attr_220,attr_243,attr_529,attr_736,attr_275,attr_290,attr_497,attr_841,attr_355,attr_476,attr_398,attr_136,attr_904,attr_756,attr_508,attr_349,attr_108,attr_488,attr_490,attr_389,attr_977,attr_663,attr_80,attr_676,attr_665,attr_168,attr_248,attr_633,attr_447,attr_994;sku,attr_324,attr_219,attr_270,attr_732;sku,attr_994,attr_445,attr_841,attr_168
